entidad,departamento_entidad,orden,nit_entidad,cantidad,suma_valor_contrato
SANTIAGO DE CALI  DISTRITO ESPECIAL  SECRETARIA DE CULTURA,Valle del Cauca,TERRITORIAL,890399011,3947,254124164368.0
INSTITUCION EDUCATIVA DEOGRACIAS CARDONA,Risaralda,TERRITORIAL,891480088,1,0.0
MUNICIPIO DE SUAITA,Santander,TERRITORIAL,890204985,3,328182255.0
Personeria Granada Antioquia,Antioquia,TERRITORIAL,8920992435,2,0.0
INSTITUCION EDUCATIVA ANTONIA SANTOS,Valle del Cauca,TERRITORIAL,805009886,3,17877670.0
CONCEJO MUNICIPAL DE BARRANCABERMEJA,Santander,TERRITORIAL,829001276,415,4120666808.0
INSTITUTO FONDO DE VIVIENDA DE INTERES SOCIAL Y REFORMA UBANA DEL MUNICIPIO DE SOGAMOSO FONVISOG,Boyacá,TERRITORIAL,800200612,29,1191721442.0
INSTITUCION EDUCATIVA DISTRITAL SAN JOSE SUR ORIENTAL IED,Bogotá DC,NACIONAL,830035369,2,0.0
CENTRO EDUCATIVO INDIGENA LOMA DE PIEDRA,Sucre,TERRITORIAL,900307382,1,13291040.0
EMPRESA SOCIAL DEL ESTADO HOSPITAL SAGRADO CORAZÓN DE JESÚS,Boyacá,TERRITORIAL,881862576,10,738039542.0
ALCALDIA DE MALAMBO,Atlántico,NACIONAL,8901143351,4,921845783.0
ALCALDIA MUNICIPIO EL ROBLE,Sucre,TERRITORIAL,823002595,1,151005250.0
INSTITUTO PARA LA ECONOMIA SOCIAL IPES,Bogotá DC,NACIONAL,899999446,4634,973647864542827.0
ALCALDIA DE SESQUILE,Cundinamarca,TERRITORIAL,899999415,2,13480000.0
CARCEL Y PENITENCIARIA DE MEDIA Y MINIMA SEGURIDAD PARA MIEMBROS DE LA FUERZA PUBLICA DE FACATATIVA  POLICIA NACIONAL,Cundinamarca,NACIONAL,800141375,90,700925988.0
MUNICIPIO DE SUAZA,Huila,TERRITORIAL,891180191,1,101983500.0
CONCEJO MUNICIPAL DE FUNZA,Cundinamarca,TERRITORIAL,832001640,101,24141951678.0
CONCEJO MUNICIPAL VILLAMARIA CALDAS,Caldas,TERRITORIAL,890801152,2,5445392.0
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE VALLEDUPAR ERE,Cesar,NACIONAL,892301722,95,1873339897.0
ASOCIACIÓN DE MUNICIPIOS DE LA SUBREGION SURORIENTAL PROVINCIA DE RICAURTE,Norte de Santander,TERRITORIAL,901439117,2,37033475.0
UNIDAD PARA LA ATENCION Y REPARACION INTEGRAL A LAS VICTIMAS  BM,Bogotá DC,NACIONAL,900490473,31,5475092573.0
JEFATURA SALUD FUERZA AEREA,Bogotá DC,NACIONAL,9014401763,1721,82550148556.0
Municipios Asociados del Cauca,Cauca,TERRITORIAL,901422916,14,226550649.0
INSTITUCION EDUCATIVA RURAL SANTANDER,Caquetá,TERRITORIAL,900025907,1,49997905.0
INSTITUTO COLOMBIANO AGROPECUARIO  SECCIONAL ANTIOQUIA,Antioquia,NACIONAL,899999069,31,1121707447.0
POLICIA METROPOLITANA DE NEIVA,Huila,NACIONAL,900634185,339,42418479641.0
INSTITUCIÒN EDUCATIVA TÈCNICO AGROPECUARIO Y EN SALUD DE SONSON,Antioquia,TERRITORIAL,890981146,18,170868127.0
INSTITUTO DE CULTURA Y TURISMO DE MANIZALES,Caldas,TERRITORIAL,800250029,723,20772900528.0
EMPRESA SOCIAL DEL ESTADO HOSPITAL PROFESOR JORGE CAVELIER,Cundinamarca,TERRITORIAL,832002436,140,2573423389.0
INSTITUCION EDUCATIVA SAN JOSE,Antioquia,TERRITORIAL,811039223,9,94288600.0
MUNICIPIO DE PEREIRAOFICIAL,Risaralda,TERRITORIAL,891480030,16975,591224753487255.0
INSTITUTO DEPARATAMENTAL DE ACCION COMUNAL DE CUNDINAMARCA,Bogotá DC,TERRITORIAL,900294898,123,90686520993.0
INSTITUTO DE VALORIZACION DE MANIZALES,Caldas,TERRITORIAL,800002916,222,67009625821.0
CORPORACIÓN AUTONOMA REGIONAL DEL TOLIMA,Tolima,NACIONAL,890704536,2775,570656711219.0
FONDO NACIONAL DEL AHORRO,Bogotá DC,NACIONAL,899999284,382,1011395545736.0
INSTITUCION EDUCATIVA SAN JOSE CALARCA,Quindío,NACIONAL,801004798,1,0.0
INSTITUCION EDUCATIVA KERA SHIKARA,Boyacá,TERRITORIAL,901560377,2,4281610.0
MINISTERIO DE EDUCACION NACIONAL MEN,Bogotá DC,NACIONAL,899999001,4330,3646017653724.0
RESGUARDO INDIGENA CRISTIANIA,Antioquia,TERRITORIAL,8002241983,31,568318965.0
ICBF REGIONAL GUAVIARE,Guaviare,NACIONAL,899999239,275,60557142871.0
ALCALDIA MUNICIPIO DE SAN GIL  SANTANDER,Santander,TERRITORIAL,800099824,770,34401706317.0
SUCRE  ESE CENTRO DE SALUD CARTAGENA DE INDIAS DE COROZAL,Sucre,TERRITORIAL,823000878,1,0.0
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE CAQUEZA,Cundinamarca,NACIONAL,832001806,64,295860276.0
MUNICIPIO DE CACHIPAY,Cundinamarca,TERRITORIAL,800081091,1,100000000.0
ALCALDIA MUNICIPIO DE SOPETRAN,Antioquia,TERRITORIAL,890981080,470,23545495777.0
MUNICIPIO DE SORA,Boyacá,NACIONAL,800019277,13,1398362322.0
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE PENSILVANIA CALDAS,Caldas,NACIONAL,810001393,137,480561604.0
EMPRESA DE SERVICIOS PUBLICOS DE RONCESVALLES SA ESP,Tolima,TERRITORIAL,900273263,1,0.0
INSTITUTO DEPARTAMENTAL DE RECREACION Y DEPORTES DEL ATLANTICO,Atlántico,TERRITORIAL,802011084,500,44303783993.0
PERSONERIA MUNICIPAL DE ENVIGADO,Antioquia,TERRITORIAL,890907106,67,1709650557.0
ALCALDIA MUNICIPIO DE ARCABUCO,Boyacá,NACIONAL,800063791,22,3757285358.0
EMPRESA DE SERVICIOS PUBLICOS DOMIILIARIOS LA ESTRELLA SA ESP,Antioquia,TERRITORIAL,9003323638,1,2506897965.0
POLICIA METROPOLITANA SANTIAGO DE CALI,Valle del Cauca,NACIONAL,800140625,443,74974857396.0
INSTITUTO DE DEPORTES Y RECREACION DE BARBOSA ANTIOQUIA,Antioquia,TERRITORIAL,811006833,73,1497055513.0
GOBERNACION DEL VALLE  SECRETARIA DE CULTURA,Valle del Cauca,TERRITORIAL,890399029,225,75272497022.0
COMANDO AÉREO DE COMBATE No 5,Antioquia,NACIONAL,800141633,273,37903119620.0
ESAP TERRITORIAL CAUCA,Cauca,NACIONAL,800117528,481,6818985883.0
INSTITUTO NACIONAL DE CANCEROLOGIA ESE,Bogotá DC,NACIONAL,899999092,58,3335432740.0
MUNICIPIO DE MARSELLA,Risaralda,TERRITORIAL,800099317,2,104393985.0
MUNICIPIO DE SANTANA,Boyacá,TERRITORIAL,800020733,26,465481848680.0
ARMADA NACIONAL DE COLOMBIA DISPENSARIO MÉDICO NIVEL I BAHÍA MÁLAGA,Valle del Cauca,TERRITORIAL,901540793,370,12664058403.0
INSTITUCION EDUCATIVA J EMILIO VALDERRAMA,Antioquia,TERRITORIAL,811019372,1,5000000.0
MUNICIPIO DE PUERTO BERRIO,Antioquia,TERRITORIAL,890980049,2,359275400.0
MUNICIPIO DE GAMEZA,Boyacá,TERRITORIAL,891857764,22,2329270745.0
INSTITUCION EDUCATIVA COLEGIO JOHN F KENNEDY,Meta,TERRITORIAL,822002467,1,1880778.0
MUNICIPIO DE MARIQUITA,Tolima,TERRITORIAL,890701342,13,735026170.0
INSTITUTO MUNICIPAL PARA LA EDUCACION FISICA LA RECREACION Y EL DEPORTE DE PAIPA,Boyacá,TERRITORIAL,826001553,29,177150000.0
SANTIAGO DE CALI DISTRITO ESPECIAL  DEPARTAMENTO ADMINISTRATIVO DE HACIENDA,Valle del Cauca,TERRITORIAL,890399011,6726,25564418778342.0
ESE HOSPITAL LOCAL MUNICIPIO DE LOS PATIOS,Norte de Santander,TERRITORIAL,807004393,59,471648455.0
FONDO DE BIENESTAR SOCIAL DE LA CONTRALORIA DEPARTAMENTAL DEL ATLANTICO,Atlántico,TERRITORIAL,802024910,6,126247150.0
MUNICIPIO DE MONTERIA,Córdoba,TERRITORIAL,800096734,2670,199194427917902.0
INSTITUCION EDUCATIVA VADO CASTRO,Boyacá,NACIONAL,826001967,1,26170000.0
CENTRO EDUCATIVO RURAL GUAMITO,Antioquia,NACIONAL,811027724,11,70388678.0
LOTERÍA DEL RISARALDA,Risaralda,TERRITORIAL,800240153,6,91896100.0
REFORESTADORA INTEGRAL DE ANTIOQUIA RIA SA,Antioquia,NACIONAL,811038424,95,3851851314.0
INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR REGIONAL BOLIVAR,Bolívar,NACIONAL,899999239,1409,333168129736074.0
ALCALDIA MUNICIPAL DE PIAMONTE,Cauca,TERRITORIAL,817000992,1,0.0
INSTITUCION EDUCATIVA COLEGIO LOYOLA PARA LA CIENCIA Y LA INNOVACION,Antioquia,TERRITORIAL,900339251,3,9740000.0
ALCALDIA MUNICIPIO DE SAN JACINTO,Bolívar,TERRITORIAL,800026685,5,2413514286.0
TOLIMA  INSTITUCION EDUCATIVA PATIO BONITO,Tolima,NACIONAL,809001400,1,1200000.0
ESE HOSPITAL SAN JOSE DE NEIRA CALDAS,Caldas,TERRITORIAL,890801562,1,0.0
INSTITUTO NACIONAL DE MEDICINA LEGAL Y CIENCIAS FORENSES,Bogotá DC,NACIONAL,800150861,1915,495616417499.0
HOSPITAL ROBERTO QUINTERO VILLA ESE,Quindío,TERRITORIAL,890000400,2,737824443.0
ESE CENTRO DE SALUD JUAN SOLERI Entidad,Santander,TERRITORIAL,804007611,7,31900000.0
MUNICIPIO DE VALDIVIA,Antioquia,TERRITORIAL,890981106,92,2255301322.0
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE CAUCASIA,Antioquia,NACIONAL,811010133,64,418718934.0
MUNICIPIO DE LEJANIAS,Meta,TERRITORIAL,892099242,1,801503992.0
MUNICIPIO DE RIO DE ORO,Cesar,TERRITORIAL,892300123,15,7731764227.0
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE TUMACO,Nariño,TERRITORIAL,840000137,143,697949639.0
ICBF REGIONAL CORDOBA,Córdoba,NACIONAL,899999239,924,808663619120.0
INSTITUTO DE ESTUDIOS DEL MINISTERIO PUBLICO,Bogotá DC,NACIONAL,8300157281,106,2611103946.0
ESE CENTRO DE SALUD SAN JOSE DE TOLU VIEJO,Sucre,NACIONAL,823000696,28,228140000.0
MUNICIPIO DE PAZ DE ARIPORO,Casanare,TERRITORIAL,800103659,4,1223423150.0
LOTERÍA SANTANDER,Santander,TERRITORIAL,890201725,1,5990000.0
GRUPO DE CABALLERIA MECANIZADO No 18,Arauca,NACIONAL,800130812,176,9915513448.0
CENAC  POPAYAN SAN,Cauca,NACIONAL,900156335,6,89979672.0
MUNICIPIO DE EL ESPINO,Boyacá,TERRITORIAL,800031073,3,402372090.0
COLEGIO TECNICO NUESTRA SEÑORA DE LA PRESENTACION,Santander,TERRITORIAL,890208068,1,88000000.0
EMPRESA DE ACUEDUCTO ALCANTARILLADO Y ASEO DEL MUNICIPIO DE LA JAGUA DE IBIRICO  CESAR SA ESPAAA DE LA JAGUA DE IBIRICO,Cesar,TERRITORIAL,900759667,11,391242024.0
UNIVERSIDAD DE MANIZALES,Caldas,NACIONAL,8908060017,1,64000000.0
ESM COMANDO AÉREO DE COMBATE NO 6,Caquetá,NACIONAL,901542777,7,158050716.0
ALCALDÍA MUNICIPAL DE EL PASO,Cesar,TERRITORIAL,800096592,8,2049551000.0
MINISTERIO DEL TRABAJO DIRECCION TERRITORIAL BOLIVAR,Bolívar,NACIONAL,806011177,19,268907978.0
PERSONERIA MUNICIPAL DE YUMBO,Valle del Cauca,TERRITORIAL,805000348,83,1414005237.0
CANAL CAPITAL,Bogotá DC,TERRITORIAL,830012587,1953,92658771158.0
AGENCIA DISTRITAL PARA LA EDUCACIÓN SUPERIOR LA CIENCIA Y LA TECNOLOGÍA ATENEA,Bogotá DC,TERRITORIAL,901508361,260,139300455779.0
ALCALDÍA MUNICIPAL DE ALVARADO TOLIMA,Tolima,TERRITORIAL,8907009616,2,174632220.0
Institución Educativa Josè Agustìn Solano,La Guajira,TERRITORIAL,825000806,2,10200000.0
Gobernación Norte de Santander,Norte de Santander,TERRITORIAL,800103927,7798,4877844803416.0
MUNICIPIO MANTA CUNDINAMARCA,Cundinamarca,TERRITORIAL,800094711,6,832503500.0
SANTIAGO DE CALI DISTRITO ESPECIAL  DEPARTAMENTO ADMINISTRATIVO DE TECNOLOGIAS DE LA INFORMACION Y LAS COMUNICACIONES,Valle del Cauca,TERRITORIAL,890399011,1377,80608434213.0
INSTITUTO DEPARTAMENTAL DE SALUD DE NARIÑO,Nariño,TERRITORIAL,891280001,1231,48727580350.0
INSTITUCION EDUCATIVA DEPARTAMENTAL LA AURORA,Cundinamarca,TERRITORIAL,832005107,1,8542800.0
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE CAICEDONIA,Valle del Cauca,NACIONAL,821000700,79,379960162.0
ALCALDIA MUNICIPAL DE VILLA RICA,Cauca,TERRITORIAL,8170026754,2,39000000.0
Universidad Pontificia Bolivariana,Antioquia,NACIONAL,8909029226,175,5946160153.0
ESE HOSPITAL SAN JUAN DE DIOS,Antioquia,TERRITORIAL,890980346,6,0.0
SENA REGIONAL QUINDIO Grupo de Apoyo Administrativo Mixto,Quindío,NACIONAL,899999034,2303,81867828878.0
INSTITUCION EDUCATIVA DIVINO SALVADOR,Huila,TERRITORIAL,8911800233,1,3600000.0
CONTRALORIA DEPARTAMENTAL DEL GUAVIARE,Guaviare,TERRITORIAL,832000115,46,434897509.0
INSTITUTO DE DEPORTES Y RECREACIÓN DEL MUNICIPIO DE FACATATIVA,Cundinamarca,TERRITORIAL,800215793,124,1453031137.0
ALCALDIA DE PUERTO GUZMAN,Putumayo,TERRITORIAL,800222489,5,2685229699.0
ALCALDIA MUNICIPAL DE NUNCHIA,Casanare,TERRITORIAL,800099425,4,1138090800.0
HOSPITAL TIMBIO EMPRESA SOCIAL DEL ESTADO,Cauca,TERRITORIAL,817000999,19,1349012225.0
MUNICIPIO DE COLON GENOVA NARIÑO,Nariño,TERRITORIAL,800019816,5,326569800.0
INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR SEDE NACIONAL,Bogotá DC,NACIONAL,899999239,5544,2250100676942.0
CENTRAL ADMINISTRATIVA Y CONTABLE  CENAC  IBAGUE,Tolima,NACIONAL,800130740,332,15691652453.0
MUNICIPIO DE YOPAL,Casanare,TERRITORIAL,891855017,7365,561245783455538.0
MUNICIPIO DE MUZO,Boyacá,NACIONAL,800077808,14,2718330388.0
INSTITUCION EDUCATIVA BRAULIO GONZALEZ,Casanare,TERRITORIAL,891855098,3,35466000.0
MUNICIPIO DE BERBEO,Boyacá,TERRITORIAL,800099390,26,1430792850.0
INSTITUCION EDUCATIVA EL CARMELO,La Guajira,TERRITORIAL,800227406,1,932000.0
MUNICIPIO DE TONA,Santander,TERRITORIAL,890205581,6,519661853.0
ALCALDIA DE DISTRACCION,La Guajira,TERRITORIAL,825000166,1,72000000.0
ALCALDIA  DE MARIA LA BAJA,Bolívar,TERRITORIAL,800095466,4,483885500.0
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD DE GARAGOA,Boyacá,NACIONAL,820001016,73,181369882.0
MUNICIPIO DE SALENTO,Quindío,TERRITORIAL,890001127,128,2271980572.0
CENTRAL ADMINISTRATIVA Y CONTABLE  CENAC  ARMENIA,Quindío,NACIONAL,901540882,85,7663388571.0
ESE HOSPITAL LA INMACULADA,Antioquia,NACIONAL,890981817,13,256989233.0
AGENCIA NACIONAL INMOBILIARIA VIRGILIO BARCO VARGAS,Bogotá DC,NACIONAL,9004839910,76,8301743279.0
MUNICIPIO DE ANDES,Antioquia,TERRITORIAL,890980342,2,28000000.0
MUNICIPIO DE AMALFI,Antioquia,TERRITORIAL,890981518,1,50000000.0
SENAREGIONAL ATLANTICO CENTRO PARA EL DESARROLLO AGROECOLOGICO Y AGROINDUSTRIAL,Atlántico,NACIONAL,899999034,612,19323037670.0
ASAMBLEA DEPARTAMENTAL DE RISARALDA,Risaralda,TERRITORIAL,891480085,61,993656666.0
MUNICIPIO DE VITERBO,Caldas,TERRITORIAL,800090833,295,8895179507.0
SENA REGIONAL CALDAS CENTRO PARA LA FORMACION CAFETERA,Caldas,NACIONAL,899999034,504,18232361417.0
HOSPITAL REGIONAL ALFONSO JARAMILLO SALAZAR ESE,Tolima,TERRITORIAL,890701718,1,40000000.0
SENA REGIONAL BOLIVAR Centro para la Industria Petroquímica,Bolívar,NACIONAL,899999034,864,26673609962.0
ALCALDIA MUNICIPAL DE SABOYA,Boyacá,TERRITORIAL,800028517,16,4572969643.0
ESE HOSPITAL MENTAL RUDESINDO SOTO,Norte de Santander,TERRITORIAL,890500810,125,757090000.0
CONTRALORIA DEPARTAMENTAL DEL VALLE DEL CAUCA,Valle del Cauca,TERRITORIAL,800090735,81,3596135488.0
EMPRESA DE ACUEDUCTO ALCANTARILLADO Y ASEO DEL MUNICIPIO DE CHALAN SA ESP,Sucre,TERRITORIAL,900306983,2,1389689075.0
INSTITUCION EDUCATIVA LA  SIERRA,Antioquia,TERRITORIAL,900935808,6,25740656.0
ESE HOSPITAL SAN RAFAEL DE LETICIA,Amazonas,TERRITORIAL,838000096,92,5430486489.0
GOBERNACION DEL VALLE  SECRETARIA DE CONVIVENCIA Y SEGURIDAD CIUDADANA,Valle del Cauca,TERRITORIAL,890399029,648,35833382970609.0
INSTITUCION EDUCATIVA DE PROMOCION SOCIAL DE CARTAGENA,Bolívar,NACIONAL,806011976,6,28565094.0
COLEGIO FERNANDO SOTO APARICIO IED,Bogotá DC,TERRITORIAL,860532538,2,4129895.0
PERSONERIA MUNICIPAL DE POPAYAN,Cauca,TERRITORIAL,8170050189,89,1503129200.0
ESM ESCUELA MILITAR DE AVIACION,Valle del Cauca,NACIONAL,9015425732,43,4788532077.0
MUNICIPIO DE SEGOVIA,Antioquia,TERRITORIAL,890981391,544,68777311054.0
EMPRESA SOCIAL DEL ESTADO HOSPITAL ANDRES GIRARDOT  GÜICÁN,Boyacá,TERRITORIAL,8918554391,10,149147718.0
Universidad Cooperativa de Colombia,Antioquia,NACIONAL,8600299247,2,0.0
EMPRESA SOCIAL DEL ESTADO DE SAN BENITO SANTANDER,Santander,TERRITORIAL,804015069,181,1191898926.0
CONTRALORIA DEPARTAMENTAL  DE NARIÑO,Nariño,TERRITORIAL,800157830,47,377108509.0
UNIDAD PRESTADORA DE SALUD ANTIOQUIA,Antioquia,NACIONAL,901363087,769,68101887792.0
INPEC ESTABLECIMIENTO CARCELARIO BARRANQUILLA  JYP,Atlántico,NACIONAL,890102201,101,1692733040.0
ALCALDÍA MUNICIPAL DE MAGANGUE,Bolívar,NACIONAL,800028432,9,5498828800.0
ESE HOSPITAL EL SALVADOR DE UBATE,Cundinamarca,TERRITORIAL,899999147,157,3253980839.0
ESE CENTRO DE SALUD DE COELLO,Tolima,TERRITORIAL,809002097,2,17850000.0
INSTITUTO DE DESARROLLO DE ARAUCA,Arauca,TERRITORIAL,834000764,39,1041419548.0
MUNICIPIO DE CAMPOHERMOSO,Boyacá,TERRITORIAL,800028393,17,1808604802.0
INSTITUTO DISTRITAL DE PROTECCION Y BIENESTAR ANIMAL,Bogotá DC,TERRITORIAL,901097324,1669,82442030672.0
ALCALDIA MUNICIPAL FUSAGASUGA,Cundinamarca,TERRITORIAL,890680008,2746,128790543105839.0
ATLÁNTICO  INSTITUCION EDUCATIVA JESUS MAESTRO,Atlántico,TERRITORIAL,802019228,6,34098000.0
ALCALDIA MUNICIPAL DE MIRAFLORES BOYACA,Boyacá,NACIONAL,800029660,46,8690487743.0
ALCALDIA MUNICIPAL DE LERIDA,Tolima,TERRITORIAL,890702034,14,1036037400.0
ESCUELA COLOMBIANA DE INGENIERIA JULIO GARAVITO,Bogotá DC,TERRITORIAL,8600348113,1,0.0
DEPARTAMENTO DE CUNDINAMARCA  SECRETARIA DE EDUCACION,Cundinamarca,TERRITORIAL,899999114,1387,4789818709611983.0
ALCALDIA MUNICIPAL PUERTO PARRA,Santander,TERRITORIAL,800060525,2,511392117.0
ALCALDIA MUNICIPIO DE ELIAS  HUILA,Huila,TERRITORIAL,8911801328,7,395495800.0
INSTITUCION EDUCATIVA JORGE ELIECER GAITAN,Nariño,TERRITORIAL,891201704,1,24351220.0
ESCUELA DE CAPACITACION MUNICIPAL ECAM,Santander,TERRITORIAL,804015969,18,348100000.0
CORPORACION CENTRO DE DESARROLLO TECNOLOGICO,Cauca,NACIONAL,817006005,1,0.0
CONTRALORIA DEPARTAMENTAL DEL HUILA,Huila,TERRITORIAL,800169790,135,1645264910.0
ALCALDIA MUNICIPAL DE GUAMAL MAGDALENA,Magdalena,TERRITORIAL,891780047,11,576299365.0
HOSPITAL DEPARTAMENTAL SAN JUAN DE DIOS DE PUERTO CARREÑO,Vichada,TERRITORIAL,842000004,572,3877189666.0
MUNICIPIO EL RETIRO,Antioquia,TERRITORIAL,890983674,947,252884483275475.0
EL INSTITUTO DE CULTURA EL CARMEN DE VIBORAL,Antioquia,TERRITORIAL,900169143,100,8405083071.0
ALCALDÍA DE POPAYÁN,Cauca,TERRITORIAL,891580006,6024,293143084059.0
CENTRO EDUCATIVO EL MANZANILLO,Antioquia,TERRITORIAL,811040224,1,5728000.0
DIRECCIÓN DE SANIDAD EJÉRCITO,Bogotá DC,NACIONAL,901440188,1060,2859743203875971.0
COLEGIO RODRIGO LARA BONILLA IED,Bogotá DC,TERRITORIAL,860532248,8,40188000.0
ARMADA NACIONAL  GRUPO GUARDACOSTAS DEL AMAZONAS,Amazonas,NACIONAL,838000055,127,3010070601.0
FONDO DE VIVIENDA DE INTERÉS SOCIAL Y REFORMA URBANA DEL MUNICIPIO DE SABANETA,Antioquia,TERRITORIAL,811015791,71,1596884697.0
INSTITUCION EDUCATIVA HERNAN TORO AGUDELO,Antioquia,TERRITORIAL,811017537,3,9616960.0
INSTITUCION EDUCATIVA MUNICIPAL EL SOCORRO,Nariño,TERRITORIAL,814001691,2,72858000.0
CONTRALORIA GENERAL DE LA REPUBLICA  GERENCIA DEPARTAMENTAL CHOCO,Chocó,NACIONAL,899999067,14,534106894.0
MUNICIPIO DE LOS PATIOS,Norte de Santander,TERRITORIAL,800044113,1435,67102203420.0
MINISTERIO DE RELACIONES EXTERIORES,Bogotá DC,NACIONAL,899999042,59,74892032392.0
MUNICIPIO DE SOTAQUIRA,Boyacá,TERRITORIAL,891801061,24,5365194906.0
INSTITUCIÓN EDUCATIVA TÉCNICA SAGRADO CORAZÓN,Atlántico,TERRITORIAL,802002911,1,6949600.0
SECRETARIA JURIDICA DISTRITAL,Bogotá DC,TERRITORIAL,899999061,796,66960105709.0
JURISDICCION ESPECIAL DE PAZ,Bogotá DC,NACIONAL,901140004,2492,523242918573.0
EMPRESA SOCIAL DEL ESTADO SUROCCIDENTE,Cauca,TERRITORIAL,900145767,140,0.0
CONCEJO DE MANIZALES,Caldas,TERRITORIAL,810005966,63,928190548.0
COMISION PROFESIONAL COLOMBIANA DE DISEÑO INDUSTRIAL,Bogotá DC,NACIONAL,900246895,12,384586474.0
INSTITUTO FINANCIERO PARA EL DESARROLLO DEL VALLEINFIVALLE,Valle del Cauca,TERRITORIAL,890308051,227,34915167858.0
ALCALDIA MUNICIPIO DE CABRERA,Santander,TERRITORIAL,890205575,13,785619903.0
INSTITUTO MUNICIPAL DE LA REFORMA URBANA Y VIVIENDA DE PASTO,Nariño,TERRITORIAL,800055903,64,794267662.0
PERSONERIA MUNICIPAL DE PEREIRA,Risaralda,TERRITORIAL,8914800302,64,1028209686.0
MUNICIPIO SAN VICENTE DEL CAGUAN,Caquetá,TERRITORIAL,800095785,31,3826023423.0
HOSPITAL RICARDO ACOSTA EMPRESA SOCIAL DEL ESTADO DE PALOCABILDO,Tolima,TERRITORIAL,809004280,26,216390332.0
INSTITUCION EDUCATIVA GENERAL JOSE MARIA CABAL,Valle del Cauca,TERRITORIAL,901355611,6,23165709.0
ESE HOSPITAL SAN RAFAEL DE GIRARDOTA,Antioquia,TERRITORIAL,890980727,35,2196169561.0
Rama Judicial  Dirección Seccional de Administración Judicial de Ibagué,Tolima,NACIONAL,8001659455,233,34703740681.0
MUNICIPIOS  ASOCIADOS DEL ORIENTE ANTIOQUEÑO  MASORA,Antioquia,TERRITORIAL,800183770,944,15883739824.0
INPEC CÁRCEL Y PENITENCIA DE ALTA Y MEDIANA SEGURIDAD DE VALLEDUPAR,Cesar,NACIONAL,824003186,223,8700174729.0
INSTITUCION EDUCATIVA GUSTAVO VILLA DIAZ,Arauca,TERRITORIAL,834000690,1,0.0
COLEGIO CLEMENCIA HOLGUIN DE URDANETA,Bogotá DC,CORPORACIÓN AUTÓNOMA,830024200,1,1274490.0
CONCEJO MUNICIPAL DE MONTERIA,Córdoba,TERRITORIAL,812000227,47,869354895.0
MUNICIPIO DE PENSILVANIA,Caldas,TERRITORIAL,890801137,24,7922544229.0
MUNICIPO DE VENTAQUEMADA,Boyacá,TERRITORIAL,891800986,3,0.0
INSTITUCION EDUCATIVA SAN ANTONIO DE PIOJO,Atlántico,NACIONAL,890108028,2,6339500.0
CONTRALORIA MUNICIPAL DE IBAGUE,Tolima,TERRITORIAL,890706867,223,2718473353.0
INSTITUCION EDUCATIVA   ANTONIO NARIÑO,Tolima,TERRITORIAL,900060416,1,1000000.0
MINISTERIO DEL TRABAJO MINTRABAJO DIRECCIONAL TERRITORIAL GUAVIARE,Guaviare,NACIONAL,830115226,8,212950922.0
DISTRITO ESPECIAL INDUSTRIAL Y PORTUARIO DE BARRANQUILLA,Atlántico,TERRITORIAL,890102018,12657,3544343499393.0
PERSONERÍA MUNICIPAL DE COGUA,Cundinamarca,TERRITORIAL,899999466,16,35769544.0
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE AGUACHICA INPEC,Cesar,NACIONAL,824000857,140,374025611.0
INSTITUCION EDUCATIVA MUNICIPAL OBONUCO,Nariño,TERRITORIAL,800178980,3,54835000.0
GOBERNACIÓN DE CUNDINAMARCA  SECRETARÍA DE PRENSA Y COMUNICACIONES,Bogotá DC,TERRITORIAL,899999114,250,138143176297.0
INSTITUTO FINANCIERO DE CASANARE,Casanare,TERRITORIAL,800221777,297,8412751141.0
INSTITUCION EDUCATIVA RURAL SANTIAGO ANGEL SANTAMARIA,Antioquia,TERRITORIAL,811026727,1,5900000.0
ESE CENTRO DE SALUD SAN ANTONIO DE SOCOTA,Boyacá,CORPORACIÓN AUTÓNOMA,826002060,1,0.0
DEPARTAMENTO DE VICHADA,Vichada,TERRITORIAL,800094067,478,15859972144.0
MUNICIPIO DE GARAGOA,Boyacá,TERRITORIAL,800025608,22,4003953855.0
ESAP TERRITORIAL ANTIOQUIA,Antioquia,NACIONAL,800117519,576,7267033073.0
Secretaría de Salud  Alcaldía de Tuluá,Valle del Cauca,TERRITORIAL,891900272,256,4965541804.0
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE MALAGA,Santander,TERRITORIAL,804003256,155,536581882.0
ALCALDÍA MUNICIPAL DE LURUACO,Atlántico,TERRITORIAL,890103003,9,2903040092.0
